CheckInDate,CheckOutDate,RateAmount,BookingStatus,RoomType,Channel,GuestName,GuestCountry,RepeatGuest
2023-05-22,2023-05-24,333.08,Confirmed,Deluxe,Direct,,,true
2023-08-20,2023-08-30,2893.32,Confirmed,Suite,Booking.com,,,true
2025-08-01,2025-08-05,280.94,Confirmed,Single,Direct,,,true
2023-03-20,2023-03-23,162.02,Confirmed,Single,Expedia,,,true
2025-06-07,2025-06-08,296.90,Confirmed,Suite,Direct,,,true
2025-11-01,2025-11-03,126.67,Confirmed,Single,Agoda,,,true
2024-04-03,2024-04-05,151.15,Confirmed,Double,Booking.com,,,true
2025-01-25,2025-01-27,102.92,Confirmed,Single,Agoda,,,true
2026-01-24,2026-01-25,102.55,Confirmed,Deluxe,Direct,,,true
2023-08-27,2023-08-28,80.16,Confirmed,Single,Booking.com,,,false
2025-07-28,2025-08-02,1198.76,Confirmed,Family,Booking.com,,,true
2025-06-14,2025-06-18,1018.47,Confirmed,Suite,Booking.com,,,true
2025-06-28,2025-07-01,672.23,Confirmed,Family,Booking.com,,,true
2023-02-15,2023-02-20,356.77,Confirmed,Double,Booking.com,,,true
2025-05-22,2025-05-30,498.17,Confirmed,Single,Agoda,,,true
2024-08-28,2024-09-01,280.10,Confirmed,Single,Direct,,,true
2025-02-23,2025-02-24,201.76,Confirmed,Family,Direct,,,true
2025-02-26,2025-03-03,251.31,Cancelled,Suite,Agoda,,,true
2024-03-26,2024-03-28,276.62,Confirmed,Family,expedia,,,true
2025-04-04,2025-04-08,247.40,Confirmed,Single,Expedia,,,true
2025-07-22,2025-07-26,255.28,Confirmed,Single,Expedia,,,true
2025-09-03,2025-09-08,638.10,Confirmed,Deluxe,Booking.com,,,true
2023-11-10,2023-11-13,396.94,Confirmed,Deluxe,Direct,,,true
2025-01-26,2025-01-29,490.87,Confirmed,Family,Direct,,,true
2025-07-28,2025-08-04,402.42,Cancelled,Deluxe,Agoda,,,true
2025-10-21,2025-10-22,64.70,Confirmed,Single,Expedia,,,true
2025-09-16,2025-09-27,3337.88,Confirmed,Suite,Booking.com,,,true
2025-07-18,2025-07-19,76.76,Confirmed,Single,Direct,,,true
2023-04-13,2023-04-15,116.88,Confirmed,Double,Booking.com,,,true
2024-04-28,2024-05-04,336.47,Confirmed,Single,Booking.com,,,true
